date,gdp,NBER,y,dy
1972-04-01,5760.47,0,8.658774347583288,8.975688803752035
1972-07-01,5814.854,0,8.668170957156914,3.758643829450392
1972-10-01,5912.22,0,8.684776674384928,6.642286891205629
1973-01-01,6058.544,0,8.709224786168932,9.779244713601543
1973-04-01,6124.506,0,8.72005337909907,4.33143717205553
1973-07-01,6092.301,0,8.714781121855529,-2.108902897416698
1973-10-01,6150.131,0,8.724228661386713,3.779015812473574
1974-01-01,6097.258,1,8.715594440905585,-3.4536881924509544
1974-04-01,6111.751,1,8.717968590487683,0.9496598328389894
1974-07-01,6053.978,1,8.708470855614044,-3.7990939494555676
1974-10-01,6030.464,1,8.704579235351222,-1.556648105128744
1975-01-01,5957.035,1,8.692328153052085,-4.900432919654918
1975-04-01,5999.61,0,8.699449746097601,2.8486372182065622
1975-07-01,6102.326,0,8.716425288956067,6.790217143386457
1975-10-01,6184.53,0,8.729806291640068,5.352401073600532
1976-01-01,6323.649,0,8.752051693942724,8.898160921062015
1976-04-01,6370.025,0,8.75935867320529,2.922791705026384
1976-07-01,6404.895,0,8.764817820753837,2.183659019419082
1976-10-01,6451.177,0,8.77201787376241,2.880021203429095
1977-01-01,6527.703,0,8.783810399285425,4.717010209206052
1977-04-01,6654.466,0,8.803043487189042,7.693235161446665
1977-07-01,6774.457,0,8.820914494934435,7.148403098157274
1977-10-01,6774.592,0,8.820934422532305,0.007971039148202408
1978-01-01,6796.26,0,8.824127739858717,1.2773269305647261
1978-04-01,7058.92,0,8.862047344281246,15.167841769011403
1978-07-01,7129.915,0,8.872054591878655,4.002899038963648
1978-10-01,7225.75,0,8.885406313821512,5.340688777143043
1979-01-01,7238.727,0,8.887200641190796,0.7177309477135907
1979-04-01,7246.454,0,8.888267524750336,0.42675342381599535
1979-07-01,7300.281,0,8.895668119546325,2.960237918395592
1979-10-01,7318.535,0,8.89816545031333,0.9989323068019473
1980-01-01,7341.557,0,8.901306224453762,1.2563096561727605
1980-04-01,7190.289,1,8.880486644622188,-8.327831932629692
1980-07-01,7181.743,1,8.879297390241565,-0.47570175224933564
1980-10-01,7315.677,0,8.897774858727486,7.390987394368409
1981-01-01,7459.022,0,8.917179585407846,7.761890672144034
1981-04-01,7403.745,0,8.9097412322575,-2.975341260138009
1981-07-01,7492.405,0,8.921645119764422,4.761555002768603
1981-10-01,7410.768,1,8.91068935664419,-4.382305248093132
1982-01-01,7295.631,1,8.895030954817281,-6.263360730763168
1982-04-01,7328.912,1,8.899582352758662,1.8205591765521945
1982-07-01,7300.896,1,8.895752359330606,-1.53199737122236
1982-10-01,7303.817,1,8.896152367196416,0.16000314632407253
1983-01-01,7400.066,0,8.909244198071407,5.236732349996487
1983-04-01,7568.456,0,8.931744362616321,9.000065817965464
1983-07-01,7719.746,0,8.95153674092315,7.916951322731336
1983-10-01,7880.794,0,8.972183939197153,8.258879309601497
1984-01-01,8034.847,0,8.991543236297723,7.743718840227842
1984-04-01,8173.67,0,9.008673291398319,6.852022040238381
1984-07-01,8252.465,0,9.018267222579306,3.837572472394868
1984-10-01,8320.199,0,9.026441451798448,3.2696916876567172
1985-01-01,8400.82,0,9.036084599114595,3.8572589264589396
1985-04-01,8474.787,0,9.044850799189456,3.50648002994447
1985-07-01,8604.22,0,9.060008059563284,6.062904149531079
1985-10-01,8668.188,0,9.067415051391976,2.962796731476658
1986-01-01,8749.127,0,9.076709202945588,3.7176606214451624
1986-04-01,8788.524,0,9.081202058490664,1.7971422180302454
1986-07-01,8872.601,0,9.090723267944167,3.8084837814011507
1986-10-01,8920.193,0,9.096072862111283,2.139837666846489
1987-01-01,8986.367,0,9.103463930104825,2.9564271974166445
1987-04-01,9083.256,0,9.11418799762557,4.2896270082984245
1987-07-01,9162.024,0,9.122822393958646,3.4537585332302
1987-10-01,9319.332,0,9.139846231291203,6.809534933022832
1988-01-01,9367.502,0,9.145001744171957,2.0622051523012885
